team,opponent,format,ground,year,toss_result,selection,runs_scored,wickets_lost,fours_hit,sixes_hit,extra_runs,run_rate,avg_bat_strike_rate,highest_score,wickets_taken,extras_given,highest_individual_wickets,player_of_the_match,match_result,total_boundaries
Pakistan,Sri Lanka,ODI,Sharjah,01-01-1984,Lose,Batting,187,9,9,3,21,4.06,52.04,47,5,26,2,Roy Dias,Lose,12
Sri Lanka,Pakistan,ODI,Sharjah,01-01-1984,Win,Bowling,190,5,11,1,26,4.36,68.51,57,9,21,3,Roy Dias,Win,12
India,Sri Lanka,ODI,Sharjah,01-01-1984,Win,Bowling,97,0,9,0,14,4.47,60.48,51,10,8,3,Surinder Khanna,Win,9
Sri Lanka,India,ODI,Sharjah,01-01-1984,Lose,Batting,96,10,7,0,8,2.34,25.74,38,0,14,0,Surinder Khanna,Lose,7
India,Pakistan,ODI,Sharjah,01-01-1984,Win,Batting,188,4,13,3,17,4.08,60.21,56,10,5,3,Surinder Khanna,Win,16
Pakistan,India,ODI,Sharjah,01-01-1984,Lose,Bowling,134,10,5,0,5,3.37,39.46,35,4,17,1,Surinder Khanna,Lose,5
Sri Lanka,Pakistan,ODI,Colombo(PSS),01-01-1986,Win,Bowling,116,10,10,0,14,3.42,37.87,34,10,15,3,Mohsin Khan,Lose,10
Pakistan,Sri Lanka,ODI,Colombo(PSS),01-01-1986,Lose,Batting,197,10,14,3,15,4.37,65.14,39,10,14,3,Mohsin Khan,Win,17
Bangladesh,Pakistan,ODI,Moratuwa,01-01-1986,Lose,Batting,94,10,0,0,9,2.64,24.63,37,3,5,2,Wasim Akram,Lose,0
Pakistan,Bangladesh,ODI,Moratuwa,01-01-1986,Win,Bowling,98,3,4,0,5,3.04,36.79,47,10,9,4,Wasim Akram,Win,4
Sri Lanka,Bangladesh,ODI,Kandy,01-01-1986,Win,Bowling,132,3,0,0,19,4.19,46.07,44,8,10,2,Asanka Gurusinha,Win,0
Bangladesh,Sri Lanka,ODI,Kandy,01-01-1986,Lose,Batting,131,8,0,0,10,2.91,47.03,40,3,19,1,Asanka Gurusinha,Lose,0
Sri Lanka,Pakistan,ODI,Colombo(SSC),01-01-1986,Win,Bowling,195,5,15,1,9,4.6,62.09,57,9,14,4,Javed Miandad,Win,16
Pakistan,Sri Lanka,ODI,Colombo(SSC),01-01-1986,Lose,Batting,191,9,11,4,14,4.24,70.13,67,5,9,3,Javed Miandad,Lose,15
Pakistan,Sri Lanka,ODI,Dhaka,01-01-1988,Lose,Batting,194,7,5,0,7,4.4,74.43,54,5,18,2,Roshan Mahanama,Lose,5
Sri Lanka,Pakistan,ODI,Dhaka,01-01-1988,Win,Bowling,195,5,10,0,18,5.02,73.08,55,7,7,3,Roshan Mahanama,Win,10
Bangladesh,India,ODI,Chattogram,01-01-1988,Lose,Batting,99,8,5,0,13,2.2,36.13,22,1,7,1,Navjot Sidhu,Lose,5
India,Bangladesh,ODI,Chattogram,01-01-1988,Win,Bowling,100,1,7,1,7,3.84,56.7,50,8,13,3,Navjot Sidhu,Win,8
India,Sri Lanka,ODI,Dhaka,01-01-1988,Win,Bowling,254,10,14,4,5,5.77,97.52,50,6,13,2,Aravinda de Silva,Lose,18
Sri Lanka,India,ODI,Dhaka,01-01-1988,Lose,Batting,271,6,12,2,13,6.02,106.61,69,10,5,4,Aravinda de Silva,Win,14
Bangladesh,Pakistan,ODI,Chattogram,01-01-1988,Lose,Bowling,111,6,0,0,15,2.46,31.02,22,3,23,1,Moin ul Atiq,Lose,0
Pakistan,Bangladesh,ODI,Chattogram,01-01-1988,Win,Batting,284,3,9,4,23,6.31,76.52,124,6,15,3,Moin ul Atiq,Win,13
India,Pakistan,ODI,Dhaka,01-01-1988,Win,Bowling,143,6,8,0,19,3.51,38.29,74,10,17,5,Arshad Ayub,Win,8
Pakistan,India,ODI,Dhaka,01-01-1988,Lose,Batting,142,10,7,0,17,3.35,47.42,38,6,19,3,Arshad Ayub,Lose,7
Bangladesh,Sri Lanka,ODI,Dhaka,01-01-1988,Lose,Batting,118,8,0,0,12,2.62,30.28,30,1,7,1,Brendon Kuruppu,Lose,0
Sri Lanka,Bangladesh,ODI,Dhaka,01-01-1988,Win,Bowling,120,1,0,0,7,3.89,59.78,58,8,12,4,Brendon Kuruppu,Win,0
India,Sri Lanka,ODI,Dhaka,01-01-1988,Win,Bowling,180,4,10,3,12,4.84,62.06,76,10,18,3,Navjot Sidhu,Win,13
Sri Lanka,India,ODI,Dhaka,01-01-1988,Lose,Batting,176,10,8,1,18,4.06,54.48,36,4,12,2,Navjot Sidhu,Lose,9
India,Bangladesh,ODI,Chandigarh,01-01-1990,Lose,Bowling,171,1,12,3,12,4.64,63.78,104,6,29,2,Navjot Sidhu,Win,15
Bangladesh,India,ODI,Chandigarh,01-01-1990,Win,Batting,170,6,11,0,29,3.4,46.26,57,1,12,1,Navjot Sidhu,Lose,11
India,Sri Lanka,ODI,Cuttack,01-01-1990,Lose,Bowling,178,10,9,0,13,3.88,51.31,40,10,32,3,Arjuna Ranatunga,Lose,9
Sri Lanka,India,ODI,Cuttack,01-01-1990,Win,Batting,214,10,2,1,32,4.33,46.93,53,10,13,3,Arjuna Ranatunga,Win,3
Bangladesh,Sri Lanka,ODI,Kolkata,01-01-1990,Lose,Bowling,178,9,0,0,20,3.95,43.2,78,4,15,1,Athar Ali Khan,Lose,0
Sri Lanka,Bangladesh,ODI,Kolkata,01-01-1990,Win,Batting,249,4,0,0,15,5.53,81.82,89,9,20,2,Athar Ali Khan,Win,0
India,Sri Lanka,ODI,Kolkata,01-01-1991,Win,Bowling,205,3,7,1,2,4.86,73.75,75,9,21,4,Mohammad Azharuddin,Win,8
Sri Lanka,India,ODI,Kolkata,01-01-1991,Lose,Batting,204,9,3,0,21,4.53,55.73,49,3,2,1,Mohammad Azharuddin,Lose,3
Bangladesh,India,ODI,Sharjah,01-01-1995,Win,Batting,163,10,12,1,11,3.64,66.87,30,1,7,1,Manoj Prabhakar,Lose,13
India,Bangladesh,ODI,Sharjah,01-01-1995,Lose,Bowling,164,1,21,1,7,5.89,110.24,56,10,11,2,Manoj Prabhakar,Win,22
Bangladesh,Sri Lanka,ODI,Sharjah,01-01-1995,Win,Bowling,126,10,8,0,12,2.84,36.15,26,10,10,4,Arjuna Ranatunga,Lose,8
Sri Lanka,Bangladesh,ODI,Sharjah,01-01-1995,Lose,Batting,233,10,15,1,10,4.69,70.57,71,10,12,4,Arjuna Ranatunga,Win,16
India,Pakistan,ODI,Sharjah,01-01-1995,Lose,Bowling,169,10,11,2,26,3.96,28.93,54,9,16,2,Aaqib Javed,Lose,13
Pakistan,India,ODI,Sharjah,01-01-1995,Win,Batting,266,9,21,5,16,5.32,92.95,88,10,26,5,Aaqib Javed,Win,26
Bangladesh,Pakistan,ODI,Sharjah,01-01-1995,Win,Batting,151,8,7,0,14,3.02,29.93,44,4,7,1,Wasim Akram,Lose,7
Pakistan,Bangladesh,ODI,Sharjah,01-01-1995,Lose,Bowling,152,4,15,2,7,5.12,79.03,38,8,14,2,Wasim Akram,Win,17
India,Sri Lanka,ODI,Sharjah,01-01-1995,Lose,Bowling,206,2,24,1,17,6.21,85.03,112,9,29,3,Sachin Tendulkar,Win,25
Sri Lanka,India,ODI,Sharjah,01-01-1995,Win,Batting,202,9,15,2,29,4.04,49.64,48,2,17,2,Sachin Tendulkar,Lose,17
Pakistan,Sri Lanka,ODI,Sharjah,01-01-1995,Lose,Batting,178,9,5,3,22,3.56,40.74,73,5,17,2,Sanath Jayasuriya,Lose,8
